Dates,Mean
2019-11-01,378.6541667
2019-11-02,334.7602778
2019-11-03,546.3161111
2019-11-04,269.4091667
2019-11-05,188.3686111
2019-11-06,102.2777778
2019-11-07,185.0419444
2019-11-08,153.4536111
2019-11-09,141.5194444
2019-11-10,195.4308333
2019-11-11,254.8677778
2019-11-12,387.6738889
2019-11-13,384.2830556
2019-11-14,371.5044444
2019-11-15,423.8375
2019-11-16,170.5188889
2019-11-17,97.04444444
2019-11-18,105.6497222
2019-11-19,130.3158333
2019-11-20,180.1952778
2019-11-21,217.6527778
2019-11-22,201.4677778
2019-11-23,127.5663889
2019-11-24,109.2175
2019-11-25,123.9583333
2019-11-26,110.2722222
2019-11-27,66.96222222
2019-11-28,32.28138889
2019-11-29,56.6725
2019-11-30,99.5775
2019-12-01,125.6633333
2019-12-02,142.8605714
2019-12-03,142.9344444
2019-12-04,166.8327778
2019-12-05,275.6052778
2019-12-06,241.8955556
2019-12-07,235.0511111
2019-12-08,239.0216667
2019-12-09,202.9675
2019-12-10,241.3833333
2019-12-11,304.1338889
2019-12-12,276.3880556
2019-12-13,94.18333333
2019-12-14,81.55457143
2019-12-15,95.52142857
2019-12-16,88.77
2019-12-17,100.1285714
2019-12-18,147.1728571
2019-12-19,269.386
2019-12-20,320.6885714
2019-12-21,246.6142857
2019-12-22,146.3434286
2019-12-23,176.998
2019-12-24,268.6782857
2019-12-25,162.6654286
2019-12-26,199.6294286
2019-12-27,245.9226471
2019-12-28,279.2888235
2019-12-29,329.6652941
2019-12-30,327.6367647
2019-12-31,260.1571429
2020-01-01,373.0051429
2020-01-02,320.066
2020-01-03,229.3045714
2020-01-04,219.9637143
2020-01-05,170.9957143
2020-01-06,157.05
2020-01-07,122.4431429
2020-01-08,118.2257143
2020-01-09,93.31114286
2020-01-10,134.3448571
2020-01-11,155.3954286
2020-01-12,213.3331429
2020-01-13,213.7654286
2020-01-14,114.3777143
2020-01-15,114.3954286
2020-01-16,140.4622857
2020-01-17,108.3171429
2020-01-18,127.8857143
2020-01-19,125.2288571
2020-01-20,148.6117143
2020-01-21,227.2482857
2020-01-22,193.364
2020-01-23,74.33171429
2020-01-24,84.81114286
2020-01-25,142.7322857
2020-01-26,202.4417143
2020-01-27,206.2794286
2020-01-28,106.5694286
2020-01-29,79.85314286
2020-01-30,91.06171429
2020-01-31,94.25285714
2020-02-01,113.0768571
